Media:5000	1	15	1.0E-4	38.739999999999995
1234	5000	1	15	1.0E-5	31.2
242359	5000	1	15	1.0E-5	27.8
986	5000	1	15	1.0E-5	42.0
5437	5000	1	15	1.0E-5	32.8
72463	5000	1	15	1.0E-5	34.8
97856	5000	1	15	1.0E-5	42.4
7105	5000	1	15	1.0E-5	28.8
3189	5000	1	15	1.0E-5	53.4
13594	5000	1	15	1.0E-5	55.6
4	5000	1	15	1.0E-5	29.4
Media:5000	1	15	1.0E-5	37.82000000000001
1234	5000	1	20	0.1	70.0
242359	5000	1	20	0.1	89.4
986	5000	1	20	0.1	53.6
5437	5000	1	20	0.1	95.2
72463	5000	1	20	0.1	57.0
97856	5000	1	20	0.1	80.4
7105	5000	1	20	0.1	66.8
3189	5000	1	20	0.1	96.0
13594	5000	1	20	0.1	81.0
4	5000	1	20	0.1	57.0
Media:5000	1	20	0.1	74.64
1234	5000	1	20	0.01	62.8
242359	5000	1	20	0.01	82.0
986	5000	1	20	0.01	47.8
5437	5000	1	20	0.01	94.2
72463	5000	1	20	0.01	48.2
97856	5000	1	20	0.01	74.8
7105	5000	1	20	0.01	63.0
3189	5000	1	20	0.01	83.2
13594	5000	1	20	0.01	64.6
4	5000	1	20	0.01	53.6
Media:5000	1	20	0.01	67.42
1234	5000	1	20	0.001	35.8
242359	5000	1	20	0.001	57.2
986	5000	1	20	0.001	37.6
5437	5000	1	20	0.001	65.2
72463	5000	1	20	0.001	36.2
97856	5000	1	20	0.001	52.2
7105	5000	1	20	0.001	40.6
3189	5000	1	20	0.001	64.8
13594	5000	1	20	0.001	55.6
4	5000	1	20	0.001	37.8
Media:5000	1	20	0.001	48.300000000000004
1234	5000	1	20	1.0E-4	29.4
242359	5000	1	20	1.0E-4	33.0
986	5000	1	20	1.0E-4	41.2
5437	5000	1	20	1.0E-4	37.0
72463	5000	1	20	1.0E-4	34.8
97856	5000	1	20	1.0E-4	41.6
7105	5000	1	20	1.0E-4	38.6
3189	5000	1	20	1.0E-4	43.6
13594	5000	1	20	1.0E-4	54.0
4	5000	1	20	1.0E-4	25.0
Media:5000	1	20	1.0E-4	37.82
1234	5000	1	20	1.0E-5	30.6
242359	5000	1	20	1.0E-5	33.4
986	5000	1	20	1.0E-5	45.6
5437	5000	1	20	1.0E-5	24.2
72463	5000	1	20	1.0E-5	38.4
97856	5000	1	20	1.0E-5	40.2
7105	5000	1	20	1.0E-5	32.2
3189	5000	1	20	1.0E-5	44.0
13594	5000	1	20	1.0E-5	56.6
4	5000	1	20	1.0E-5	25.4
Media:5000	1	20	1.0E-5	37.059999999999995
1234	5000	1	25	0.1	69.0
242359	5000	1	25	0.1	88.2
986	5000	1	25	0.1	52.6
5437	5000	1	25	0.1	99.6
72463	5000	1	25	0.1	55.4
97856	5000	1	25	0.1	79.2
7105	5000	1	25	0.1	67.2
3189	5000	1	25	0.1	95.6
13594	5000	1	25	0.1	80.2
4	5000	1	25	0.1	56.6
Media:5000	1	25	0.1	74.36
1234	5000	1	25	0.01	61.2
242359	5000	1	25	0.01	76.8
986	5000	1	25	0.01	41.6
5437	5000	1	25	0.01	94.4
72463	5000	1	25	0.01	44.0
97856	5000	1	25	0.01	65.8
7105	5000	1	25	0.01	52.6
3189	5000	1	25	0.01	80.8
13594	5000	1	25	0.01	64.2
4	5000	1	25	0.01	53.6
Media:5000	1	25	0.01	63.500000000000014
1234	5000	1	25	0.001	39.2
242359	5000	1	25	0.001	65.6
986	5000	1	25	0.001	46.4
5437	5000	1	25	0.001	61.0
72463	5000	1	25	0.001	38.4
97856	5000	1	25	0.001	49.2
7105	5000	1	25	0.001	39.2
3189	5000	1	25	0.001	58.8
13594	5000	1	25	0.001	56.2
4	5000	1	25	0.001	31.6
Media:5000	1	25	0.001	48.56
1234	5000	1	25	1.0E-4	29.2
242359	5000	1	25	1.0E-4	27.4
986	5000	1	25	1.0E-4	46.6
5437	5000	1	25	1.0E-4	25.0
72463	5000	1	25	1.0E-4	37.2
97856	5000	1	25	1.0E-4	42.2
7105	5000	1	25	1.0E-4	27.8
3189	5000	1	25	1.0E-4	48.6
13594	5000	1	25	1.0E-4	55.8
4	5000	1	25	1.0E-4	27.0
Media:5000	1	25	1.0E-4	36.68
1234	5000	1	25	1.0E-5	28.4
242359	5000	1	25	1.0E-5	20.8
986	5000	1	25	1.0E-5	42.0
5437	5000	1	25	1.0E-5	35.0
72463	5000	1	25	1.0E-5	38.6
97856	5000	1	25	1.0E-5	40.8
7105	5000	1	25	1.0E-5	33.2
3189	5000	1	25	1.0E-5	50.2
13594	5000	1	25	1.0E-5	54.0
4	5000	1	25	1.0E-5	23.0
Media:5000	1	25	1.0E-5	36.6
1234	5000	1	30	0.1	68.6
242359	5000	1	30	0.1	85.4
986	5000	1	30	0.1	52.2
5437	5000	1	30	0.1	98.4
72463	5000	1	30	0.1	55.0
97856	5000	1	30	0.1	81.0
7105	5000	1	30	0.1	67.8
3189	5000	1	30	0.1	93.0
13594	5000	1	30	0.1	77.2
4	5000	1	30	0.1	57.4
Media:5000	1	30	0.1	73.60000000000001
1234	5000	1	30	0.01	62.8
242359	5000	1	30	0.01	80.0
986	5000	1	30	0.01	46.2
5437	5000	1	30	0.01	86.4
72463	5000	1	30	0.01	42.8
